DP_KEY,EM_LOS_DESC,ICD_ROOT,ICD_DESCRIPTION,REPRESENTATIVE_ICD,PROC_GROUP,n,n_valid,n_null,n_total,pct_valid,count_1,count_2,count_3,count_4,count_5,mode_los,mode_conf,HAL_0.90,delta_hal_minus_mode,entropy,gini,is_tie,feasible_levels,stoplight
10,Evaluation and Management Level of Service Links for ALL,A00,"Cholera due to Vibrio cholerae 01, biovar cholerae",A00.0,ESTAO,3,3,3,6,0.5,0,0,3,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,RED
10,Evaluation and Management Level of Service Links for ALL,A01,"Typhoid fever, unspecified",A01.00,ESTAO,11,11,11,22,0.5,0,0,11,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,GREEN
10,Evaluation and Management Level of Service Links for ALL,A02,Salmonella enteritis,A02.0,ESTAO,11,11,11,22,0.5,0,0,11,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,GREEN
10,Evaluation and Management Level of Service Links for ALL,A03,Shigellosis due to Shigella dysenteriae,A03.0,ESTAO,6,6,6,12,0.5,0,0,6,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,GREEN
10,Evaluation and Management Level of Service Links for ALL,A04,Enteropathogenic Escherichia coli infection,A04.0,ESTAO,12,12,12,24,0.5,0,0,12,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,GREEN
10,Evaluation and Management Level of Service Links for ALL,A05,Foodborne staphylococcal intoxication,A05.0,ESTAO,8,8,8,16,0.5,0,0,8,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,GREEN
10,Evaluation and Management Level of Service Links for ALL,A06,Acute amebic dysentery,A06.0,ESTAO,12,12,12,24,0.5,0,0,12,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,GREEN
10,Evaluation and Management Level of Service Links for ALL,A07,Balantidiasis,A07.0,ESTAO,7,7,7,14,0.5,0,0,7,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,GREEN
10,Evaluation and Management Level of Service Links for ALL,A08,Rotaviral enteritis,A08.0,ESTAO,9,9,9,18,0.5,0,0,9,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,GREEN
10,Evaluation and Management Level of Service Links for ALL,A09,"Infectious gastroenteritis and colitis, unspecified",A09,ESTAO,1,1,1,2,0.5,0,0,1,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,RED
10,Evaluation and Management Level of Service Links for ALL,A15,Tuberculosis of lung,A15.0,ESTAO,7,7,7,14,0.5,0,0,3,4,0,4,0.5714285714285714,4,0.0,0.9852281360342515,0.48979591836734704,0,"3,4",RED
10,Evaluation and Management Level of Service Links for ALL,A17,Tuberculous meningitis,A17.0,ESTAO,7,7,7,14,0.5,0,0,0,7,0,4,1.0,4,0.0,-0.0,0.0,0,4,GREEN
10,Evaluation and Management Level of Service Links for ALL,A18,Tuberculosis of spine,A18.01,ESTAO,32,32,32,64,0.5,0,0,0,32,0,4,1.0,4,0.0,-0.0,0.0,0,4,GREEN
10,Evaluation and Management Level of Service Links for ALL,A19,Acute miliary tuberculosis of a single specified site,A19.0,ESTAO,5,5,5,10,0.5,0,0,0,0,5,5,1.0,5,0.0,-0.0,0.0,0,5,GREEN
10,Evaluation and Management Level of Service Links for ALL,A20,Bubonic plague,A20.0,ESTAO,7,7,7,14,0.5,0,0,0,7,0,4,1.0,4,0.0,-0.0,0.0,0,4,GREEN
10,Evaluation and Management Level of Service Links for ALL,A21,Ulceroglandular tularemia,A21.0,ESTAO,7,7,7,14,0.5,0,0,0,7,0,4,1.0,4,0.0,-0.0,0.0,0,4,GREEN
10,Evaluation and Management Level of Service Links for ALL,A22,Cutaneous anthrax,A22.0,ESTAO,6,6,6,12,0.5,0,0,0,6,0,4,1.0,4,0.0,-0.0,0.0,0,4,GREEN
10,Evaluation and Management Level of Service Links for ALL,A23,Brucellosis due to Brucella melitensis,A23.0,ESTAO,6,6,6,12,0.5,0,0,0,6,0,4,1.0,4,0.0,-0.0,0.0,0,4,GREEN
10,Evaluation and Management Level of Service Links for ALL,A24,Glanders,A24.0,ESTAO,5,5,5,10,0.5,0,0,0,5,0,4,1.0,4,0.0,-0.0,0.0,0,4,GREEN
10,Evaluation and Management Level of Service Links for ALL,A25,Spirillosis,A25.0,ESTAO,3,3,3,6,0.5,0,0,0,3,0,4,1.0,4,0.0,-0.0,0.0,0,4,RED
10,Evaluation and Management Level of Service Links for ALL,A26,Cutaneous erysipeloid,A26.0,ESTAO,4,4,4,8,0.5,0,0,0,4,0,4,1.0,4,0.0,-0.0,0.0,0,4,RED
10,Evaluation and Management Level of Service Links for ALL,A27,Leptospirosis icterohemorrhagica,A27.0,ESTAO,4,4,4,8,0.5,0,0,4,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,RED
10,Evaluation and Management Level of Service Links for ALL,A28,Pasteurellosis,A28.0,ESTAO,5,5,5,10,0.5,0,0,1,4,0,4,0.8,4,0.0,0.7219280948873623,0.31999999999999984,0,"3,4",GREEN
10,Evaluation and Management Level of Service Links for ALL,A30,Indeterminate leprosy,A30.0,ESTAO,8,8,8,16,0.5,0,0,0,8,0,4,1.0,4,0.0,-0.0,0.0,0,4,GREEN
10,Evaluation and Management Level of Service Links for ALL,A31,Pulmonary mycobacterial infection,A31.0,ESTAO,5,5,5,10,0.5,0,0,0,5,0,4,1.0,4,0.0,-0.0,0.0,0,4,GREEN
10,Evaluation and Management Level of Service Links for ALL,A32,Cutaneous listeriosis,A32.0,ESTAO,8,8,8,16,0.5,0,0,0,8,0,4,1.0,4,0.0,-0.0,0.0,0,4,GREEN
10,Evaluation and Management Level of Service Links for ALL,A33,Tetanus neonatorum,A33,ESTAO,1,1,1,2,0.5,0,0,1,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,RED
10,Evaluation and Management Level of Service Links for ALL,A34,Obstetrical tetanus,A34,ESTAO,1,1,1,2,0.5,0,0,1,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,RED
10,Evaluation and Management Level of Service Links for ALL,A35,Other tetanus,A35,ESTAO,1,1,1,2,0.5,0,0,1,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,RED
10,Evaluation and Management Level of Service Links for ALL,A36,Pharyngeal diphtheria,A36.0,ESTAO,12,12,12,24,0.5,0,0,0,12,0,4,1.0,4,0.0,-0.0,0.0,0,4,GREEN
10,Evaluation and Management Level of Service Links for ALL,A37,Whooping cough due to Bordetella pertussis without pneumonia,A37.00,ESTAO,8,8,8,16,0.5,0,0,8,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,GREEN
10,Evaluation and Management Level of Service Links for ALL,A38,Scarlet fever with otitis media,A38.0,ESTAO,4,4,4,8,0.5,0,0,4,0,0,3,1.0,3,0.0,-0.0,0.0,0,3,RED
